run_id,condition_id,condition_name,model,model_label,hhi,sector_hhi,portfolio_beta,portfolio_vol,return_12m,breadth,sector_Consumer Goods,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology
claude_control_019_20260427T232202267829,0,control,claude-sonnet-4-6,claude,0.05669048916997062,0.19855559721572702,0.9165326796999999,31.052060778,11.366683368199999,20,15.075377000000001,7.537689,15.075376999999998,18.592965,12.562814999999999,31.155779
claude_technical_025_20260427T232206979091,2,technical,claude-sonnet-4-6,claude,0.07503765766294941,0.1857943667010892,0.7628431949000001,28.44297782000001,14.5613763349,20,19.896538,5.103462,22.443293999999998,19.389176,18.364503999999997,14.803024
claude_fundamental_013_20260427T232222441377,1,fundamental,claude-sonnet-4-6,claude,0.09351823847587741,0.29520141534741384,1.1593064188000002,35.2349614208,15.388405143500002,20,12.922766,4.300858000000001,15.315497,14.830894,4.785462,47.844523
claude_combined_014_20260427T232249164100,3,combined,claude-sonnet-4-6,claude,0.059570313333333506,0.1973741373263891,0.9276041759000001,30.878021107800002,13.781979190799998,20,16.145834,6.25,19.270833,16.666666,11.979167,29.687501
claude_control_020_20260427T232254183454,0,control,claude-sonnet-4-6,claude,0.05704401590969942,0.198858620092422,0.9153266484999999,30.989799417300002,11.2166832377,20,15.075377000000001,7.537689,15.57789,18.592965,12.060302,31.155779
claude_control_000_20260427T232258792780,0,control,claude-sonnet-4-6,claude,0.05639999999999999,0.19785000000000003,0.9168000000000002,31.0682,11.573,20,15.000000000000002,7.500000000000001,15.0,18.5,13.0,31.0
claude_combined_025_20260427T232303604952,3,combined,claude-sonnet-4-6,claude,0.06361257188421719,0.20734322294340057,0.9483687980000002,30.9333937685,13.503631346900004,20,18.262341000000003,6.25,18.75,16.34156,8.658438,31.737658999999997
claude_combined_015_20260427T232325518526,3,combined,claude-sonnet-4-6,claude,0.0711686541338289,0.2220089815425339,0.9662713632,31.360458640499992,13.947153145199998,20,16.758323999999998,4.429557,19.708029000000003,16.748325,7.879211999999999,34.476552
claude_fundamental_027_20260427T232350914734,1,fundamental,claude-sonnet-4-6,claude,0.1008973382402583,0.3075267687732643,1.1392472039000001,34.41906689700001,12.851528756,20,14.164134,4.4275590000000005,12.391084,15.045593000000002,4.417426,49.554205
claude_combined_023_20260427T232406067999,3,combined,claude-sonnet-4-6,claude,0.05870000000000001,0.19735,0.9124000000000001,30.711799999999997,12.560599999999999,20,17.0,7.000000000000001,16.5,18.5,11.0,30.0
claude_fundamental_023_20260427T232420407144,1,fundamental,claude-sonnet-4-6,claude,0.0929545416834635,0.2863914020747243,1.1547317155,35.06724705580001,15.0356345679,20,13.434484999999999,5.476286,15.9164,13.926850000000002,4.491559,46.754421
