run_id,condition_id,condition_name,hhi,sector_hhi,portfolio_beta,portfolio_vol,breadth
fundamental_022_20260416T005407344372,1,fundamental,0.11675000000000002,0.42205000000000004,1.09045,30.566999999999997,20
fundamental_011_20260416T005420731786,1,fundamental,0.10536559174217518,0.37984831885006115,1.0729626282000002,30.465784125699997,20
fundamental_020_20260416T005434391863,1,fundamental,0.1050049770476641,0.36265910219445385,1.0382106933,30.573304942199997,20
technical_006_20260416T005449388251,2,technical,0.08695,0.17805,0.8323000000000002,28.0756,20
fundamental_009_20260416T005539518304,1,fundamental,0.11873901424115268,0.429521001316351,1.0639903884,30.043566056199996,20
technical_007_20260416T005554425179,2,technical,0.0618748161948754,0.16983564327137257,0.7628380544,27.8168808881,20
fundamental_004_20260416T005611792582,1,fundamental,0.09330497509434751,0.33108149710014384,1.0276255605,30.052008831899997,20
technical_000_20260416T005623361205,2,technical,0.06160972000000001,0.16959575999999998,0.819346,27.902768,20
fundamental_008_20260416T005639836241,1,fundamental,0.10142718,0.3626085999999999,1.075295,30.701019,20
fundamental_029_20260416T005708667780,1,fundamental,0.11860811861619677,0.42415596404080763,1.0637688770999998,30.111659557100005,20
fundamental_025_20260416T005721977881,1,fundamental,0.0963583566990989,0.34343190200838464,1.0258810472,30.166088826600003,20
technical_016_20260416T005735609685,2,technical,0.05998226752828101,0.16931402552094882,0.7651265836000001,27.619366869199997,20
control_022_20260416T005755156520,0,control,0.06024895773084399,0.210896859002143,0.9199495288,29.8887383894,20
technical_003_20260416T005800275324,2,technical,0.11045179749011638,0.18509498026089277,0.8519140812,28.209925415199997,20
technical_005_20260416T005818451607,2,technical,0.0967055311180418,0.18076285973466022,0.7872636985000001,27.285771652800005,20
control_023_20260416T005833358998,0,control,0.059800000000000006,0.20929999999999999,0.9177000000000002,29.8588,20
fundamental_010_20260416T005839289349,1,fundamental,0.1017699949106272,0.36048362659834254,1.0557059186000002,30.167738839500007,20
combined_009_20260416T005856085222,3,combined,0.0594646032076147,0.1835811977489591,0.8545853553999998,28.5121461028,20
combined_022_20260416T005920147989,3,combined,0.0584390610419071,0.1812764299173397,0.8452450882,28.412548942199997,20
control_024_20260416T005925026218,0,control,0.06065000000000001,0.21120000000000003,0.9300999999999999,30.02045,20
control_006_20260416T005929980517,0,control,0.06024895773084399,0.210896859002143,0.9199495288,29.8887383894,20
fundamental_026_20260416T005934753127,1,fundamental,0.1020800883862543,0.3613719312396305,1.0423792148,30.305993315,20
combined_000_20260416T005951181520,3,combined,0.059032913106509106,0.18528106116124268,0.8576442272,28.5145672168,20
control_018_20260416T005955975826,0,control,0.0606016916762786,0.21068819511341802,0.9326470611,30.091911800699997,20
fundamental_019_20260416T010000992477,1,fundamental,0.10380000000000002,0.3696000000000001,1.0629000000000002,30.300399999999996,20
combined_028_20260416T010014751704,3,combined,0.05853520773211451,0.18295787044490552,0.8546116813999999,28.517476175299997,20
fundamental_012_20260416T010019745362,1,fundamental,0.11879022373525391,0.4429663757409287,1.0807023055,30.375205721500002,20
